day,hours,batch-code,batch,cno,title,credits,fac
2TUE,H1,03-2,B Tech (MnC)-II,MC215,Linear Algebra,3-1-0-4,RM
2TUE,H1,04-1,M Tech (ICT)-I,IT506,Accelerated Computing,3-0-2-4,BC
2TUE,H1,04-1,M Tech (ICT)-I,IT561,Advanced Software Engineering,3-0-2-4,ST
2TUE,H1,04-2,M Tech (ICT)-II,IT414,Software Project Management,3-0-2-4,JP
2TUE,H1,05-1,M Tech (EC-CRR)-I,CT516,Advanced Digital Communication,3-0-2-4,YV
2TUE,H1,06-1,MSc (IT)-I,IT615,Database Management Systems,3-0-2-4,PMJ
2TUE,H1,06-2,MSc (IT)-II,IT414,Software Project Management,3-0-2-4,JP
2TUE,H1,07-1,MSc (DS)-I,IT615,Database Management Systems,3-0-2-4,PMJ
2TUE,H1,07-2,MSc (DS)-II,IT414,Software Project Management,3-0-2-4,JP
2TUE,H2,01-1,B Tech (ICT n CS)-I,PC110,Language and Literature,3-0-0-3,SKS
2TUE,H2,01-1,B Tech (ICT n CS)-I,PC110,Language and Literature,3-0-0-3,SRG
2TUE,H2,01-2,B Tech (ICT n CS)-II,CT203,Signals and Systems ,3-1-0-4,AH
2TUE,H2,01-2,B Tech (ICT n CS)-II,CT203,Signals and Systems ,3-1-0-4,RLD
2TUE,H2,01-3,B Tech (ICT n CS)-III,IE402,Optimization,3-0-2-4,MK2
2TUE,H2,01-3,B Tech (ICT n CS)-III,IE404,Digital Image Processing,3-0-2-4,MK
2TUE,H2,01-3,B Tech (ICT n CS)-III,IE406,Machine Learning,3-0-2-4,MVJ
2TUE,H2,01-4,B Tech (ICT n CS)-IV,IE402,Optimization,3-0-2-4,MK2
2TUE,H2,01-4,B Tech (ICT n CS)-IV,IE404,Digital Image Processing,3-0-2-4,MK
2TUE,H2,01-4,B Tech (ICT n CS)-IV,IE406,Machine Learning,3-0-2-4,MVJ
2TUE,H2,03-1,B Tech (MnC)-I,PC110,Language and Literature,3-0-0-3,SKS
2TUE,H2,03-1,B Tech (MnC)-I,PC110,Language and Literature,3-0-0-3,SRG
2TUE,H2,03-2,B Tech (MnC)-II,MC213,Design and Analysis of Algorithms,3-1-0-4,PB
2TUE,H2,04-1,M Tech (ICT)-I,PC503,Programming LAB,1-0-4-3,TBD
2TUE,H2,06-2,MSc (IT)-II,IT634,Information Systems Security,3-0-2-4,MLD
